app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
uti,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
kerberos,business-systems,auth-service,client-server,2,no,no,no,no,yes,no,no,yes,no
smp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sm,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ptp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
isis,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
fire,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
crtp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
crudp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sscopmce,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
iplt,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
sps,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
