app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
avamar,"business-systems","storage-backup","client-server",2,no,yes,no,yes,no,no,no,no,no,"tcp/28001,28002,9443, 27000,29000,7778,7779,8778-8781,8181,8444,8543,8580"
"avast-av-update","business-systems","software-update","client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/80,443"
"avaya-phone-ping","business-systems",management,"client-server",2,no,no,no,no,yes,no,no,yes,no,"udp/2048-3329,16384-32787"
"avaya-webalive-base",collaboration,"internet-conferencing","browser-based",1,no,no,no,no,yes,no,no,no,yes,"tcp/dynamic|udp/7878,2379"
"avaya-webalive-desktop-sharing",collaboration,"internet-conferencing","browser-based",3,yes,yes,no,no,yes,no,yes,no,yes,"tcp/80,1935"
"avaya-webalive-file-transfer","general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,yes,no,yes,"tcp/80"
"avaya-webalive-voice",collaboration,"voip-video","browser-based",1,no,yes,no,no,no,no,no,no,yes,"udp/2379"
"avg-update","business-systems","software-update","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/80"
"avira-antivir-update","business-systems","software-update","client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,443"
avocent,networking,"remote-access","client-server",3,no,no,no,yes,yes,no,no,yes,no,"tcp/3449,3448,3211,3502,3871"
avoidr,networking,proxy,"browser-based",4,yes,no,no,yes,no,yes,yes,yes,no,"tcp/80"
"ax.25",networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
axifile,"general-internet","file-sharing","browser-based",5,yes,no,yes,yes,yes,no,no,yes,yes,"tcp/80"
azureus,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/dynamic|udp/dynamic"
babelgum,media,"photo-video","peer-to-peer",4,yes,yes,no,no,yes,no,yes,yes,no,"tcp/80"
babylon,"business-systems","office-programs","client-server",1,yes,no,no,no,no,no,no,no,no,"tcp/80"
"backblaze-backup","business-systems","storage-backup","client-server",3,no,no,no,yes,yes,no,yes,yes,yes,"tcp/443"
"backpack-editing",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,yes,yes,no,"tcp/80"
"backup-exec","business-systems","storage-backup","client-server",3,no,yes,no,yes,yes,no,no,yes,no,"tcp/dynamic"
backweb,"business-systems","erp-crm","browser-based",1,no,no,no,yes,no,no,no,no,yes,"udp/370,377"
